neck_x,neck_y,right_foot_x,right_foot_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,left_hand_x,left_hand_y,left_foot_x,left_foot_y
-182.0,204.0,-301.0,-904.0,-468.0,-232.0,-253.0,-248.0,-449.0,-590.0,-352.0,-79.0,-509.0,234.0,-199.0,-89.0,-210.0,-335.0,-316.0,-557.0,-182.0,204.0,-534.0,-69.0,-612.0,-286.0,-421.0,-902.0
-170.0,198.0,-301.0,-904.0,-462.0,-236.0,-246.0,-248.0,-457.0,-587.0,-345.0,-81.0,-506.0,230.0,-188.0,-96.0,-204.0,-336.0,-306.0,-559.0,-170.0,198.0,-524.0,-69.0,-606.0,-286.0,-429.0,-897.0
-161.0,194.0,-297.0,-910.0,-454.0,-241.0,-238.0,-249.0,-468.0,-575.0,-338.0,-79.0,-496.0,224.0,-180.0,-101.0,-195.0,-338.0,-302.0,-561.0,-161.0,194.0,-517.0,-68.0,-603.0,-286.0,-436.0,-878.0
-148.0,194.0,-297.0,-910.0,-452.0,-244.0,-230.0,-249.0,-474.0,-558.0,-332.0,-78.0,-485.0,227.0,-174.0,-100.0,-190.0,-340.0,-298.0,-563.0,-148.0,194.0,-513.0,-65.0,-602.0,-286.0,-439.0,-848.0
-144.0,194.0,-295.0,-912.0,-458.0,-243.0,-230.0,-252.0,-481.0,-531.0,-328.0,-76.0,-478.0,232.0,-170.0,-98.0,-182.0,-340.0,-295.0,-563.0,-144.0,194.0,-508.0,-61.0,-602.0,-286.0,-449.0,-803.0
-144.0,192.0,-297.0,-914.0,-462.0,-236.0,-230.0,-252.0,-483.0,-516.0,-323.0,-74.0,-473.0,226.0,-164.0,-98.0,-178.0,-340.0,-295.0,-567.0,-144.0,192.0,-504.0,-60.0,-601.0,-284.0,-455.0,-766.0
-142.0,188.0,-297.0,-914.0,-462.0,-232.0,-230.0,-255.0,-485.0,-494.0,-320.0,-71.0,-468.0,226.0,-161.0,-96.0,-178.0,-340.0,-299.0,-567.0,-142.0,188.0,-503.0,-53.0,-601.0,-284.0,-461.0,-729.0
-140.0,184.0,-297.0,-914.0,-466.0,-226.0,-236.0,-257.0,-487.0,-479.0,-321.0,-69.0,-469.0,224.0,-160.0,-97.0,-172.0,-342.0,-302.0,-566.0,-140.0,184.0,-498.0,-52.0,-600.0,-279.0,-465.0,-713.0
-146.0,182.0,-301.0,-913.0,-468.0,-222.0,-242.0,-257.0,-487.0,-460.0,-318.0,-63.0,-466.0,225.0,-160.0,-96.0,-176.0,-342.0,-305.0,-565.0,-146.0,182.0,-500.0,-49.0,-598.0,-278.0,-465.0,-706.0
-152.0,176.0,-301.0,-913.0,-476.0,-222.0,-248.0,-257.0,-489.0,-453.0,-318.0,-59.0,-471.0,223.0,-163.0,-96.0,-180.0,-342.0,-309.0,-563.0,-152.0,176.0,-501.0,-49.0,-598.0,-278.0,-465.0,-706.0
-159.0,172.0,-301.0,-912.0,-480.0,-222.0,-252.0,-259.0,-489.0,-453.0,-324.0,-58.0,-472.0,216.0,-168.0,-98.0,-181.0,-342.0,-311.0,-562.0,-159.0,172.0,-504.0,-46.0,-600.0,-279.0,-466.0,-706.0
-168.0,165.0,-302.0,-909.0,-484.0,-229.0,-256.0,-260.0,-491.0,-454.0,-328.0,-57.0,-480.0,210.0,-174.0,-98.0,-185.0,-344.0,-314.0,-562.0,-168.0,165.0,-508.0,-51.0,-600.0,-282.0,-467.0,-713.0
-178.0,162.0,-303.0,-908.0,-484.0,-237.0,-258.0,-260.0,-493.0,-460.0,-334.0,-59.0,-488.0,199.0,-177.0,-98.0,-191.0,-344.0,-315.0,-560.0,-178.0,162.0,-514.0,-56.0,-608.0,-285.0,-467.0,-713.0
-188.0,157.0,-303.0,-908.0,-491.0,-237.0,-266.0,-261.0,-493.0,-465.0,-342.0,-67.0,-499.0,190.0,-190.0,-98.0,-200.0,-342.0,-316.0,-559.0,-188.0,157.0,-522.0,-61.0,-609.0,-291.0,-470.0,-711.0
-202.0,159.0,-304.0,-895.0,-498.0,-232.0,-274.0,-259.0,-495.0,-466.0,-351.0,-69.0,-512.0,185.0,-200.0,-86.0,-201.0,-333.0,-325.0,-555.0,-202.0,159.0,-536.0,-64.0,-619.0,-292.0,-470.0,-711.0
-221.0,166.0,-303.0,-869.0,-503.0,-223.0,-286.0,-247.0,-497.0,-468.0,-364.0,-59.0,-529.0,187.0,-214.0,-80.0,-209.0,-313.0,-328.0,-540.0,-221.0,166.0,-544.0,-59.0,-628.0,-283.0,-470.0,-711.0
-235.0,182.0,-297.0,-842.0,-508.0,-210.0,-290.0,-228.0,-503.0,-468.0,-380.0,-46.0,-541.0,204.0,-226.0,-57.0,-216.0,-296.0,-332.0,-517.0,-235.0,182.0,-555.0,-48.0,-639.0,-269.0,-470.0,-711.0
-246.0,200.0,-293.0,-805.0,-512.0,-194.0,-298.0,-206.0,-505.0,-468.0,-387.0,-33.0,-551.0,214.0,-234.0,-36.0,-220.0,-276.0,-332.0,-490.0,-246.0,200.0,-570.0,-29.0,-643.0,-251.0,-474.0,-713.0
-258.0,228.0,-299.0,-758.0,-512.0,-172.0,-306.0,-184.0,-507.0,-462.0,-396.0,-15.0,-560.0,240.0,-248.0,-8.0,-228.0,-242.0,-334.0,-463.0,-258.0,228.0,-581.0,-19.0,-652.0,-238.0,-474.0,-713.0
-266.0,245.0,-307.0,-720.0,-510.0,-162.0,-309.0,-170.0,-509.0,-462.0,-400.0,-5.0,-565.0,249.0,-257.0,4.0,-232.0,-232.0,-335.0,-442.0,-266.0,245.0,-587.0,-12.0,-656.0,-218.0,-476.0,-719.0
-277.0,259.0,-325.0,-668.0,-508.0,-145.0,-309.0,-158.0,-509.0,-458.0,-406.0,8.0,-574.0,252.0,-264.0,14.0,-239.0,-217.0,-338.0,-419.0,-277.0,259.0,-596.0,-6.0,-658.0,-202.0,-476.0,-720.0
-280.0,266.0,-338.0,-624.0,-505.0,-140.0,-310.0,-143.0,-509.0,-458.0,-410.0,18.0,-580.0,262.0,-267.0,26.0,-243.0,-205.0,-338.0,-401.0,-280.0,266.0,-598.0,-1.0,-658.0,-191.0,-476.0,-720.0
-284.0,268.0,-345.0,-596.0,-501.0,-134.0,-306.0,-136.0,-501.0,-460.0,-414.0,21.0,-580.0,266.0,-273.0,30.0,-246.0,-197.0,-336.0,-383.0,-284.0,268.0,-602.0,4.0,-653.0,-188.0,-474.0,-727.0
-284.0,268.0,-345.0,-580.0,-500.0,-136.0,-304.0,-133.0,-495.0,-460.0,-412.0,25.0,-584.0,260.0,-274.0,31.0,-246.0,-197.0,-336.0,-367.0,-284.0,268.0,-601.0,1.0,-646.0,-184.0,-471.0,-729.0
-285.0,263.0,-346.0,-571.0,-494.0,-140.0,-302.0,-130.0,-491.0,-461.0,-416.0,26.0,-584.0,259.0,-274.0,27.0,-249.0,-202.0,-336.0,-351.0,-285.0,263.0,-599.0,1.0,-642.0,-184.0,-469.0,-731.0
-282.0,260.0,-345.0,-564.0,-492.0,-143.0,-298.0,-135.0,-491.0,-461.0,-414.0,22.0,-579.0,254.0,-276.0,19.0,-252.0,-209.0,-330.0,-346.0,-282.0,260.0,-596.0,-5.0,-628.0,-186.0,-468.0,-737.0
-282.0,248.0,-337.0,-570.0,-489.0,-148.0,-298.0,-135.0,-491.0,-465.0,-413.0,19.0,-571.0,243.0,-276.0,16.0,-252.0,-209.0,-328.0,-339.0,-282.0,248.0,-589.0,-9.0,-618.0,-194.0,-467.0,-737.0
-274.0,242.0,-333.0,-573.0,-486.0,-153.0,-298.0,-143.0,-486.0,-466.0,-412.0,15.0,-560.0,236.0,-276.0,6.0,-252.0,-216.0,-328.0,-339.0,-274.0,242.0,-581.0,-13.0,-608.0,-203.0,-465.0,-741.0
-269.0,227.0,-324.0,-578.0,-481.0,-158.0,-297.0,-150.0,-486.0,-468.0,-410.0,9.0,-552.0,233.0,-272.0,-2.0,-250.0,-226.0,-328.0,-339.0,-269.0,227.0,-572.0,-15.0,-599.0,-211.0,-464.0,-743.0
-264.0,222.0,-319.0,-584.0,-476.0,-162.0,-294.0,-155.0,-479.0,-468.0,-404.0,1.0,-544.0,224.0,-269.0,-8.0,-246.0,-232.0,-324.0,-347.0,-264.0,222.0,-562.0,-17.0,-596.0,-215.0,-464.0,-743.0
