neck_x,neck_y,left_elbow_x,left_elbow_y,right_foot_x,right_foot_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,left_hand_x,left_hand_y,left_foot_x,left_foot_y,right_shoulder_x,right_shoulder_y
-441.0,338.0,-671.0,-25.0,-361.0,-757.0,-588.0,-188.0,-293.0,-194.0,-503.0,-649.0,-467.0,-24.0,-647.0,275.0,-228.0,-32.0,-195.0,-278.0,-345.0,-467.0,-691.0,-264.0,-522.0,-956.0,-259.0,268.0
-433.0,335.0,-661.0,-27.0,-367.0,-763.0,-581.0,-184.0,-289.0,-197.0,-495.0,-646.0,-467.0,-12.0,-633.0,271.0,-227.0,-38.0,-200.0,-278.0,-347.0,-473.0,-685.0,-260.0,-522.0,-956.0,-252.0,253.0
-419.0,326.0,-646.0,-21.0,-371.0,-765.0,-573.0,-172.0,-283.0,-198.0,-494.0,-629.0,-459.0,-10.0,-614.0,272.0,-221.0,-38.0,-202.0,-284.0,-347.0,-476.0,-679.0,-249.0,-529.0,-932.0,-241.0,246.0
-401.0,328.0,-636.0,0.0,-371.0,-770.0,-563.0,-160.0,-279.0,-186.0,-505.0,-609.0,-445.0,2.0,-593.0,283.0,-216.0,-39.0,-201.0,-278.0,-352.0,-479.0,-673.0,-233.0,-534.0,-903.0,-225.0,244.0
-383.0,336.0,-621.0,13.0,-371.0,-772.0,-555.0,-146.0,-271.0,-170.0,-507.0,-579.0,-431.0,4.0,-583.0,291.0,-203.0,-30.0,-200.0,-268.0,-348.0,-481.0,-672.0,-218.0,-539.0,-858.0,-219.0,243.0
-371.0,337.0,-613.0,30.0,-375.0,-782.0,-543.0,-130.0,-266.0,-158.0,-515.0,-547.0,-419.0,17.0,-568.0,308.0,-201.0,-28.0,-197.0,-258.0,-353.0,-482.0,-665.0,-198.0,-535.0,-806.0,-208.0,250.0
-367.0,350.0,-604.0,47.0,-375.0,-784.0,-543.0,-118.0,-265.0,-147.0,-519.0,-511.0,-408.0,29.0,-560.0,321.0,-199.0,-21.0,-194.0,-247.0,-351.0,-480.0,-659.0,-184.0,-528.0,-717.0,-203.0,254.0
-361.0,363.0,-597.0,59.0,-375.0,-786.0,-544.0,-105.0,-262.0,-138.0,-522.0,-470.0,-405.0,34.0,-553.0,332.0,-191.0,-13.0,-197.0,-228.0,-351.0,-482.0,-661.0,-173.0,-526.0,-652.0,-202.0,261.0
-360.0,364.0,-595.0,68.0,-379.0,-790.0,-545.0,-95.0,-270.0,-130.0,-525.0,-438.0,-400.0,44.0,-551.0,339.0,-192.0,-6.0,-201.0,-227.0,-353.0,-483.0,-657.0,-162.0,-524.0,-604.0,-201.0,267.0
-359.0,373.0,-592.0,76.0,-377.0,-796.0,-542.0,-88.0,-267.0,-122.0,-530.0,-403.0,-398.0,52.0,-545.0,343.0,-191.0,-3.0,-209.0,-217.0,-359.0,-482.0,-661.0,-152.0,-523.0,-558.0,-203.0,269.0
-357.0,370.0,-587.0,79.0,-380.0,-804.0,-542.0,-79.0,-273.0,-122.0,-529.0,-379.0,-395.0,55.0,-545.0,344.0,-191.0,2.0,-214.0,-208.0,-362.0,-484.0,-660.0,-149.0,-528.0,-549.0,-207.0,268.0
-364.0,369.0,-589.0,78.0,-382.0,-809.0,-543.0,-72.0,-280.0,-119.0,-533.0,-374.0,-399.0,54.0,-547.0,345.0,-195.0,-2.0,-219.0,-202.0,-363.0,-484.0,-665.0,-150.0,-531.0,-550.0,-211.0,268.0
-371.0,366.0,-586.0,73.0,-385.0,-808.0,-546.0,-80.0,-282.0,-117.0,-533.0,-373.0,-399.0,50.0,-548.0,331.0,-201.0,-4.0,-224.0,-205.0,-367.0,-485.0,-674.0,-155.0,-534.0,-569.0,-215.0,260.0
-372.0,351.0,-585.0,61.0,-383.0,-813.0,-547.0,-83.0,-287.0,-120.0,-531.0,-381.0,-402.0,39.0,-551.0,320.0,-208.0,-10.0,-232.0,-214.0,-369.0,-482.0,-670.0,-160.0,-537.0,-580.0,-221.0,253.0
-383.0,342.0,-587.0,58.0,-387.0,-805.0,-553.0,-89.0,-290.0,-126.0,-529.0,-393.0,-409.0,32.0,-562.0,304.0,-219.0,-9.0,-237.0,-209.0,-371.0,-486.0,-677.0,-162.0,-534.0,-589.0,-235.0,245.0
-395.0,342.0,-595.0,47.0,-387.0,-801.0,-557.0,-92.0,-299.0,-126.0,-527.0,-399.0,-417.0,32.0,-571.0,293.0,-228.0,-6.0,-243.0,-202.0,-379.0,-478.0,-683.0,-168.0,-531.0,-594.0,-248.0,247.0
-409.0,347.0,-604.0,53.0,-381.0,-778.0,-563.0,-79.0,-309.0,-112.0,-518.0,-399.0,-423.0,37.0,-581.0,301.0,-239.0,10.0,-245.0,-193.0,-377.0,-461.0,-685.0,-160.0,-525.0,-599.0,-259.0,263.0
-423.0,358.0,-609.0,66.0,-377.0,-738.0,-567.0,-62.0,-319.0,-95.0,-518.0,-399.0,-433.0,56.0,-590.0,313.0,-249.0,34.0,-250.0,-172.0,-372.0,-436.0,-681.0,-149.0,-526.0,-596.0,-271.0,271.0
-433.0,375.0,-615.0,76.0,-381.0,-680.0,-573.0,-44.0,-326.0,-79.0,-517.0,-397.0,-445.0,70.0,-604.0,324.0,-253.0,56.0,-253.0,-154.0,-374.0,-404.0,-686.0,-139.0,-524.0,-603.0,-281.0,293.0
-441.0,388.0,-619.0,83.0,-391.0,-604.0,-571.0,-34.0,-333.0,-62.0,-513.0,-393.0,-453.0,84.0,-609.0,333.0,-261.0,72.0,-253.0,-134.0,-370.0,-367.0,-680.0,-127.0,-527.0,-602.0,-287.0,313.0
-448.0,397.0,-625.0,97.0,-396.0,-513.0,-569.0,-19.0,-331.0,-44.0,-508.0,-389.0,-455.0,102.0,-611.0,339.0,-264.0,89.0,-254.0,-116.0,-369.0,-328.0,-681.0,-116.0,-523.0,-605.0,-295.0,329.0
-450.0,405.0,-627.0,101.0,-396.0,-465.0,-565.0,-12.0,-328.0,-28.0,-507.0,-385.0,-461.0,113.0,-613.0,344.0,-267.0,102.0,-255.0,-99.0,-368.0,-294.0,-677.0,-102.0,-523.0,-604.0,-302.0,339.0
-453.0,408.0,-632.0,103.0,-398.0,-447.0,-561.0,-12.0,-328.0,-23.0,-508.0,-380.0,-459.0,112.0,-611.0,342.0,-270.0,108.0,-253.0,-94.0,-364.0,-269.0,-669.0,-99.0,-520.0,-606.0,-300.0,338.0
-449.0,395.0,-628.0,97.0,-395.0,-453.0,-559.0,-14.0,-329.0,-21.0,-506.0,-384.0,-461.0,114.0,-611.0,336.0,-274.0,105.0,-252.0,-93.0,-363.0,-260.0,-664.0,-99.0,-517.0,-610.0,-302.0,334.0
-443.0,390.0,-621.0,90.0,-393.0,-467.0,-555.0,-16.0,-326.0,-27.0,-495.0,-380.0,-460.0,106.0,-601.0,331.0,-276.0,97.0,-251.0,-101.0,-361.0,-254.0,-653.0,-98.0,-516.0,-611.0,-301.0,325.0
-440.0,378.0,-617.0,86.0,-392.0,-481.0,-551.0,-19.0,-327.0,-32.0,-495.0,-385.0,-455.0,102.0,-593.0,323.0,-273.0,89.0,-251.0,-106.0,-365.0,-265.0,-639.0,-100.0,-513.0,-612.0,-295.0,313.0
-435.0,370.0,-609.0,83.0,-394.0,-503.0,-550.0,-27.0,-326.0,-41.0,-494.0,-383.0,-453.0,92.0,-586.0,318.0,-269.0,86.0,-249.0,-116.0,-367.0,-276.0,-635.0,-99.0,-513.0,-611.0,-290.0,303.0
-421.0,365.0,-602.0,84.0,-401.0,-509.0,-545.0,-28.0,-324.0,-44.0,-494.0,-379.0,-447.0,92.0,-578.0,317.0,-272.0,74.0,-251.0,-121.0,-372.0,-286.0,-626.0,-90.0,-514.0,-600.0,-284.0,293.0
-408.0,362.0,-598.0,93.0,-403.0,-510.0,-540.0,-22.0,-322.0,-32.0,-491.0,-368.0,-441.0,95.0,-563.0,327.0,-267.0,70.0,-251.0,-121.0,-376.0,-290.0,-620.0,-81.0,-518.0,-586.0,-279.0,295.0
-397.0,373.0,-589.0,107.0,-403.0,-509.0,-533.0,-7.0,-317.0,-23.0,-493.0,-353.0,-436.0,107.0,-552.0,337.0,-262.0,74.0,-255.0,-116.0,-375.0,-293.0,-616.0,-67.0,-517.0,-556.0,-270.0,297.0
-389.0,383.0,-578.0,125.0,-400.0,-513.0,-527.0,4.0,-312.0,-14.0,-495.0,-334.0,-428.0,122.0,-546.0,351.0,-256.0,81.0,-253.0,-106.0,-371.0,-288.0,-612.0,-58.0,-514.0,-520.0,-263.0,297.0
-382.0,388.0,-571.0,144.0,-399.0,-514.0,-520.0,16.0,-310.0,-4.0,-498.0,-306.0,-421.0,133.0,-535.0,361.0,-253.0,91.0,-251.0,-95.0,-372.0,-286.0,-613.0,-36.0,-505.0,-465.0,-257.0,301.0
-375.0,398.0,-570.0,157.0,-400.0,-520.0,-518.0,33.0,-305.0,5.0,-502.0,-277.0,-411.0,140.0,-529.0,375.0,-249.0,98.0,-253.0,-89.0,-375.0,-286.0,-613.0,-26.0,-504.0,-411.0,-250.0,315.0
-375.0,402.0,-561.0,167.0,-399.0,-522.0,-518.0,43.0,-307.0,14.0,-505.0,-250.0,-411.0,148.0,-524.0,381.0,-251.0,104.0,-257.0,-78.0,-375.0,-280.0,-619.0,-13.0,-501.0,-361.0,-250.0,316.0
-373.0,405.0,-559.0,177.0,-401.0,-520.0,-520.0,50.0,-308.0,21.0,-509.0,-224.0,-407.0,153.0,-519.0,389.0,-247.0,108.0,-257.0,-74.0,-381.0,-278.0,-619.0,-4.0,-503.0,-334.0,-250.0,319.0
-374.0,403.0,-553.0,180.0,-403.0,-520.0,-521.0,56.0,-310.0,22.0,-511.0,-208.0,-404.0,157.0,-520.0,389.0,-246.0,106.0,-261.0,-71.0,-385.0,-277.0,-624.0,1.0,-505.0,-325.0,-254.0,318.0
-377.0,402.0,-553.0,183.0,-407.0,-528.0,-522.0,58.0,-313.0,23.0,-513.0,-202.0,-401.0,158.0,-521.0,382.0,-250.0,106.0,-267.0,-70.0,-385.0,-275.0,-629.0,0.0,-510.0,-338.0,-254.0,317.0
-380.0,398.0,-555.0,175.0,-409.0,-527.0,-522.0,54.0,-315.0,22.0,-513.0,-203.0,-401.0,151.0,-522.0,375.0,-254.0,101.0,-270.0,-73.0,-385.0,-276.0,-630.0,-2.0,-515.0,-356.0,-258.0,308.0
-383.0,389.0,-550.0,164.0,-406.0,-525.0,-521.0,52.0,-320.0,16.0,-508.0,-212.0,-405.0,140.0,-524.0,363.0,-255.0,92.0,-282.0,-74.0,-387.0,-276.0,-631.0,-10.0,-515.0,-368.0,-263.0,302.0
-391.0,384.0,-553.0,158.0,-408.0,-521.0,-522.0,44.0,-322.0,14.0,-507.0,-222.0,-413.0,140.0,-527.0,355.0,-263.0,92.0,-283.0,-73.0,-389.0,-277.0,-629.0,-14.0,-506.0,-376.0,-269.0,301.0
-400.0,381.0,-553.0,157.0,-402.0,-512.0,-529.0,45.0,-329.0,14.0,-506.0,-223.0,-416.0,136.0,-540.0,349.0,-270.0,92.0,-291.0,-71.0,-393.0,-270.0,-629.0,-18.0,-503.0,-383.0,-280.0,298.0
-413.0,389.0,-559.0,158.0,-403.0,-503.0,-533.0,52.0,-335.0,22.0,-503.0,-226.0,-419.0,141.0,-550.0,352.0,-275.0,100.0,-290.0,-61.0,-396.0,-258.0,-628.0,-18.0,-506.0,-380.0,-287.0,307.0
-423.0,399.0,-563.0,165.0,-401.0,-481.0,-536.0,64.0,-341.0,40.0,-505.0,-222.0,-427.0,154.0,-554.0,363.0,-285.0,120.0,-298.0,-43.0,-394.0,-243.0,-626.0,-10.0,-505.0,-382.0,-300.0,324.0
-431.0,407.0,-574.0,175.0,-397.0,-452.0,-539.0,79.0,-345.0,51.0,-502.0,-222.0,-435.0,165.0,-561.0,367.0,-292.0,139.0,-297.0,-32.0,-393.0,-230.0,-623.0,-4.0,-502.0,-382.0,-307.0,340.0
