neck_x,neck_y,left_foot_x,left_foot_y,left_elbow_x,left_elbow_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,right_foot_x,right_foot_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,left_hand_x,left_hand_y,left_shoulder_x,left_shoulder_y
115,412,-17.63265306,-524.5714286,-106,149,-20,9,164,-7,-22,-271,81,39,62,-490,274,107,264,-76,121,-272,230,344,-136,3,-46,338
120,410,-24.24489796,-443.0204082,-91,156,-16,21,166,14,-23,-235,84,49,61,-483,270,115,250,-49,128,-263,224,343,-126,7,-34,346
114,416,-28.65306122,-383.5102041,-80,167,-14,39,162,31,-17,-196,77,61,62,-478,264,131,240,-22,123,-247,225,351,-112,9,-32,347
113,415,-36,-366,-77,161,-16,53,149,43,-14,-189,74,72,60,-478,256,147,234,5,106,-231,216,355,-109,11,-30,351
98,403,-38,-379,-74,157,-20,58,142,51,-17,-197,66,86,54,-470,252,147,215,22,95,-220,204,349,-102,8,-32,342
93,385,-25,-332,-74,149,-22,54,132,50,-23,-202,62,75,50,-460,235,142,199,31,90,-213,192,334,-107,1,-36,318
81,372,-21,-319,-80,141,-30,48,118,50,-30,-198,46,73,53,-433,219,139,188,33,84,-201,178,326,-115,0,-42,311
67,368,-20,-323,-88,139,-37,52,108,51,-29,-165,38,73,53,-385,202,141,178,29,78,-184,161,328,-120,10,-52,302
54,368,-19,-316,-94,149,-48,70,94,53,-32,-153,32,85,58,-324,186,151,171,27,77,-166,146,324,-125,26,-56,306
48,374,-23,-318,-104,168,-46,81,90,67,-32,-142,29,95,58,-273,175,162,167,31,57,-131,135,327,-123,44,-63,309
44,375,-22,-312,-106,179,-46,89,88,77,-32,-139,30,108,43,-266,166,167,163,47,54,-105,125,330,-124,61,-65,317
40,371,-20,-306,-112,183,-49,95,84,84,-29,-131,25,113,30,-269,164,171,160,45,47,-101,123,327,-122,75,-65,320
42,367,-18,-307,-113,183,-46,93,81,85,-24,-130,24,115,18,-272,160,164,156,40,41,-106,121,320,-118,88,-60,313
44,354,-14,-290,-112,179,-39,93,82,81,-24,-123,22,106,16,-242,157,161,155,35,45,-119,118,309,-115,92,-57,300
46,342,-14,-275,-97,173,-35,93,82,80,-22,-104,33,110,18,-232,156,160,152,29,50,-114,121,300,-110,84,-52,298
55,342,-20,-232,-84,173,-29,91,87,83,-22,-101,34,107,17,-237,159,152,154,31,58,-98,125,294,-104,78,-45,295
60,336,-27,-198,-76,175,-22,94,88,89,-25,-81,38,109,18,-234,158,152,153,42,62,-88,126,296,-96,75,-36,294
59,342,-28,-157,-68,177,-23,97,88,96,-22,-61,41,119,18,-234,159,163,151,56,60,-86,128,298,-92,73,-36,296
62,342,-30,-158,-62,187,-22,112,86,107,-20,-53,36,124,23,-234,156,167,147,80,59,-80,127,302,-84,79,-26,300
62,343,-28,-178,-62,184,-23,116,84,113,-12,-51,36,136,15,-224,158,173,142,92,48,-70,127,308,-83,83,-24,303
53,339,-23,-179,-59,180,-25,117,77,113,-18,-60,29,133,12,-229,154,171,132,100,43,-66,120,304,-82,81,-29,294
47,328,-16,-156,-62,173,-32,114,72,111,-30,-67,28,127,14,-218,147,167,129,99,43,-60,114,296,-83,76,-32,286
