neck_x,neck_y,left_foot_x,left_foot_y,left_elbow_x,left_elbow_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_foot_x,right_foot_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,left_hand_x,left_hand_y
79.0,422.0,-44.0,-492.0,-131.0,191.0,-59.0,48.0,114.0,54.0,-55.0,-231.0,41.0,92.0,-26.0,394.0,-3.0,-407.0,190.0,151.0,201.0,-29.0,67.0,-223.0,185.0,364.0,-158.0,31.0
85.0,420.0,-52.0,-422.0,-123.0,199.0,-53.0,52.0,117.0,61.0,-57.0,-191.0,46.0,102.0,-19.0,397.0,4.0,-408.0,195.0,154.0,201.0,-18.0,75.0,-219.0,185.0,363.0,-147.0,46.0
91.0,416.0,-54.0,-342.0,-113.0,205.0,-49.0,63.0,117.0,68.0,-46.0,-161.0,53.0,110.0,-9.0,394.0,8.0,-403.0,195.0,157.0,198.0,-6.0,77.0,-215.0,187.0,364.0,-142.0,55.0
90.0,416.0,-44.0,-302.0,-108.0,207.0,-48.0,72.0,117.0,71.0,-40.0,-142.0,49.0,117.0,-3.0,396.0,16.0,-399.0,195.0,161.0,199.0,5.0,79.0,-195.0,184.0,368.0,-132.0,63.0
89.0,414.0,-48.0,-318.0,-106.0,206.0,-46.0,78.0,116.0,76.0,-39.0,-139.0,48.0,120.0,-3.0,392.0,14.0,-394.0,192.0,162.0,195.0,10.0,70.0,-189.0,183.0,364.0,-127.0,68.0
87.0,408.0,-44.0,-318.0,-103.0,201.0,-47.0,78.0,110.0,78.0,-40.0,-144.0,47.0,119.0,-5.0,384.0,11.0,-385.0,187.0,168.0,193.0,13.0,63.0,-185.0,179.0,359.0,-123.0,68.0
79.0,398.0,-36.0,-306.0,-100.0,196.0,-46.0,76.0,105.0,78.0,-39.0,-153.0,45.0,113.0,-10.0,370.0,10.0,-379.0,185.0,161.0,189.0,14.0,61.0,-179.0,172.0,354.0,-119.0,63.0
75.0,388.0,-32.0,-290.0,-101.0,189.0,-46.0,75.0,101.0,78.0,-32.0,-151.0,41.0,112.0,-13.0,362.0,10.0,-363.0,175.0,158.0,185.0,9.0,59.0,-173.0,165.0,344.0,-117.0,57.0
65.0,380.0,-26.0,-284.0,-105.0,184.0,-49.0,74.0,96.0,78.0,-26.0,-143.0,33.0,108.0,-21.0,355.0,15.0,-345.0,171.0,159.0,183.0,14.0,58.0,-159.0,153.0,340.0,-118.0,52.0
57.0,376.0,-28.0,-294.0,-109.0,186.0,-52.0,75.0,89.0,78.0,-33.0,-138.0,26.0,112.0,-27.0,350.0,19.0,-319.0,158.0,160.0,175.0,16.0,59.0,-147.0,142.0,337.0,-118.0,49.0
49.0,376.0,-28.0,-288.0,-107.0,189.0,-52.0,86.0,85.0,86.0,-35.0,-128.0,27.0,115.0,-29.0,350.0,31.0,-281.0,152.0,169.0,165.0,24.0,70.0,-135.0,131.0,340.0,-115.0,55.0
41.0,376.0,-28.0,-286.0,-111.0,192.0,-52.0,90.0,84.0,89.0,-43.0,-120.0,25.0,123.0,-35.0,350.0,40.0,-229.0,146.0,175.0,166.0,36.0,73.0,-115.0,124.0,344.0,-115.0,63.0
41.0,382.0,-28.0,-282.0,-109.0,195.0,-53.0,100.0,81.0,98.0,-47.0,-121.0,21.0,135.0,-42.0,351.0,41.0,-197.0,142.0,180.0,157.0,46.0,67.0,-96.0,120.0,348.0,-110.0,81.0
43.0,381.0,-30.0,-278.0,-109.0,201.0,-51.0,106.0,79.0,100.0,-37.0,-113.0,21.0,138.0,-37.0,352.0,38.0,-191.0,137.0,187.0,149.0,53.0,66.0,-85.0,121.0,350.0,-105.0,87.0
43.0,381.0,-28.0,-278.0,-109.0,204.0,-51.0,107.0,79.0,106.0,-37.0,-111.0,23.0,142.0,-34.0,352.0,36.0,-211.0,132.0,187.0,152.0,58.0,58.0,-88.0,117.0,348.0,-102.0,93.0
45.0,376.0,-32.0,-282.0,-108.0,203.0,-50.0,108.0,81.0,102.0,-29.0,-100.0,23.0,145.0,-31.0,346.0,28.0,-216.0,133.0,183.0,148.0,55.0,58.0,-82.0,119.0,344.0,-97.0,95.0
45.0,370.0,-22.0,-270.0,-100.0,197.0,-43.0,109.0,78.0,97.0,-32.0,-97.0,27.0,138.0,-25.0,341.0,27.0,-209.0,135.0,174.0,145.0,52.0,54.0,-86.0,119.0,331.0,-95.0,91.0
51.0,362.0,-24.0,-267.0,-96.0,196.0,-39.0,104.0,80.0,101.0,-24.0,-95.0,32.0,132.0,-19.0,334.0,23.0,-200.0,134.0,171.0,144.0,49.0,51.0,-82.0,123.0,322.0,-93.0,87.0
56.0,353.0,-22.0,-250.0,-88.0,193.0,-36.0,103.0,84.0,98.0,-23.0,-91.0,37.0,134.0,-11.0,331.0,20.0,-204.0,137.0,169.0,147.0,50.0,55.0,-83.0,125.0,316.0,-91.0,87.0
61.0,352.0,-26.0,-212.0,-79.0,202.0,-30.0,106.0,86.0,105.0,-21.0,-79.0,37.0,137.0,-4.0,332.0,21.0,-207.0,140.0,172.0,148.0,52.0,60.0,-80.0,129.0,312.0,-86.0,87.0
67.0,352.0,-25.0,-169.0,-66.0,205.0,-23.0,107.0,92.0,116.0,-25.0,-67.0,40.0,142.0,2.0,336.0,20.0,-209.0,140.0,179.0,149.0,62.0,67.0,-77.0,132.0,318.0,-85.0,97.0
71.0,352.0,-23.0,-143.0,-63.0,208.0,-18.0,112.0,91.0,121.0,-16.0,-43.0,48.0,145.0,4.0,334.0,23.0,-197.0,144.0,183.0,151.0,70.0,74.0,-72.0,133.0,319.0,-83.0,99.0
70.0,354.0,-15.0,-140.0,-58.0,209.0,-17.0,118.0,92.0,121.0,-12.0,-37.0,45.0,147.0,11.0,334.0,25.0,-199.0,145.0,185.0,154.0,76.0,71.0,-69.0,136.0,319.0,-80.0,103.0
