neck_x,neck_y,left_foot_x,left_foot_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_foot_x,right_foot_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,left_hand_x,left_hand_y
45,165,53,-413,-3,-95,82,-69,9,-237,41,-53,-28,161,66,-483,164,3,153,-97,72,-233,113,155,-51,-3,-64,-122
40,171,50,-404,-8,-82,76,-62,4,-220,43,-48,-29,164,68,-441,157,7,149,-91,69,-223,110,159,-56,7,-64,-111
39,174,47,-402,-8,-72,77,-54,1,-210,43,-31,-29,167,73,-392,151,17,149,-79,67,-216,104,165,-57,16,-71,-98
37,183,46,-397,-6,-61,79,-48,-4,-204,43,-16,-29,172,73,-353,146,23,146,-79,67,-197,97,175,-58,22,-72,-84
35,184,48,-393,-1,-51,79,-37,6,-193,45,2,-31,181,70,-335,143,33,146,-74,59,-177,93,181,-63,32,-74,-73
32,190,49,-393,2,-46,81,-32,13,-186,43,8,-35,186,63,-340,139,35,147,-73,62,-156,93,179,-64,40,-75,-57
28,187,55,-389,4,-47,80,-28,21,-180,45,10,-36,182,62,-343,134,39,147,-67,65,-158,92,178,-69,44,-77,-55
26,183,57,-384,8,-48,79,-34,25,-179,42,7,-34,176,57,-341,131,37,146,-71,67,-161,87,173,-72,39,-73,-51
23,173,58,-378,5,-48,77,-36,27,-173,42,6,-36,169,57,-333,126,33,147,-74,66,-172,87,167,-73,33,-73,-52
27,167,56,-365,6,-50,74,-37,25,-171,39,-1,-32,163,52,-312,127,27,147,-75,63,-179,85,159,-69,35,-73,-54
27,161,51,-358,8,-46,75,-38,20,-160,40,0,-30,161,54,-312,124,25,147,-70,65,-175,85,153,-65,31,-71,-55
25,163,46,-311,3,-46,73,-34,21,-155,41,10,-27,159,48,-307,123,27,145,-66,60,-164,82,152,-63,35,-69,-56
28,169,37,-273,3,-48,69,-27,17,-156,39,16,-29,164,45,-319,121,31,141,-61,61,-154,83,154,-59,38,-65,-52
28,175,28,-254,-1,-38,67,-19,13,-155,36,18,-27,168,43,-319,120,43,142,-57,63,-145,81,159,-51,47,-61,-43
28,174,18,-245,0,-30,69,-13,3,-132,35,22,-26,173,42,-314,119,49,132,-45,66,-140,83,166,-51,53,-57,-35
28,175,16,-252,-6,-26,63,-5,-1,-115,31,26,-27,176,44,-315,118,48,132,-44,57,-134,81,171,-50,58,-55,-29
28,175,14,-260,-7,-22,53,-2,0,-103,27,28,-29,172,40,-313,116,46,125,-33,50,-129,79,170,-49,57,-54,-32
29,172,12,-266,-12,-22,53,-5,1,-108,22,23,-27,169,38,-311,117,48,117,-30,44,-125,75,165,-50,56,-53,-34
25,169,12,-257,-11,-27,49,-4,1,-119,21,20,-28,165,35,-305,117,44,116,-26,41,-126,75,161,-47,51,-50,-39
21,163,17,-239,-15,-28,44,-8,1,-131,22,16,-31,157,35,-289,113,39,107,-22,41,-121,73,157,-43,48,-48,-40
21,162,19,-243,-16,-27,43,-10,-8,-126,23,21,-32,157,38,-271,111,43,104,-18,38,-122,67,156,-43,47,-49,-41
17,160,22,-249,-19,-24,41,-4,-10,-119,18,21,-31,157,40,-246,105,44,100,-17,35,-117,67,155,-43,49,-50,-37
14,164,20,-249,-23,-14,37,-5,-12,-105,15,27,-32,157,39,-213,100,47,96,-17,31,-109,64,160,-48,52,-56,-32
14,171,20,-249,-23,-8,33,-2,-17,-101,18,32,-35,163,33,-195,95,55,94,-12,33,-109,65,163,-48,60,-57,-25
14,171,20,-245,-23,-1,38,8,-15,-99,17,39,-33,167,38,-188,94,61,94,-10,31,-102,60,168,-51,62,-65,-14
8,175,21,-244,-18,5,39,11,-13,-91,15,44,-35,169,37,-195,89,65,95,-8,32,-90,58,172,-57,69,-63,-11
9,175,18,-241,-17,8,43,20,-3,-91,17,46,-37,171,32,-202,85,71,94,-9,30,-84,56,167,-59,73,-67,1
12,169,21,-238,-13,6,42,14,3,-88,19,46,-34,169,29,-211,85,66,95,-8,33,-82,55,167,-64,69,-69,3
12,167,23,-237,-14,4,41,12,0,-82,17,48,-33,167,28,-213,85,64,92,-12,29,-79,55,163,-60,69,-70,3
11,161,24,-232,-12,4,41,10,4,-86,18,43,-34,161,30,-215,82,57,94,-15,32,-89,53,159,-57,65,-69,6
9,160,20,-221,-9,4,44,10,5,-86,18,38,-32,157,19,-215,78,56,90,-17,38,-97,54,154,-57,63,-67,3
15,157,18,-209,-9,4,44,10,4,-84,21,34,-31,154,36,-189,79,55,89,-17,41,-95,53,151,-55,61,-67,3
13,157,15,-187,-10,3,43,14,3,-81,22,44,-30,152,35,-187,79,55,91,-12,44,-83,53,150,-49,64,-62,-1
