Rt_hip_x,Rt_hip_y,neck_x,neck_y,left_foot_x,left_foot_y,left_elbow_x,left_elbow_y,left_hip_x,left_hip_y,Rt_hand_x,Rt_hand_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_foot_x,right_foot_y,Rt_knee_x,Rt_knee_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_shoulder_x,right_shoulder_y
755.0,-428.0,704.0,-150.0,698.0,-719.0,589.0,-309.0,655.0,-440.0,825.0,-365.0,669.0,-578.0,707.0,-363.0,617.0,-161.0,727.0,-814.0,749.0,-574.0,841.0,-309.0,559.0,-431.0,787.0,-152.0
745.0,-424.0,701.0,-151.0,701.0,-721.0,591.0,-310.0,652.0,-431.0,825.0,-369.0,667.0,-562.0,705.0,-359.0,617.0,-160.0,727.0,-790.0,749.0,-567.0,833.0,-309.0,561.0,-428.0,783.0,-155.0
744.0,-422.0,697.0,-146.0,701.0,-714.0,593.0,-305.0,646.0,-419.0,821.0,-373.0,667.0,-546.0,704.0,-349.0,614.0,-153.0,727.0,-751.0,750.0,-561.0,821.0,-303.0,563.0,-421.0,777.0,-148.0
737.0,-412.0,693.0,-141.0,702.0,-717.0,593.0,-305.0,643.0,-410.0,819.0,-376.0,663.0,-538.0,702.0,-341.0,613.0,-154.0,723.0,-703.0,744.0,-554.0,813.0,-297.0,565.0,-413.0,775.0,-144.0
737.0,-401.0,694.0,-138.0,703.0,-715.0,594.0,-294.0,643.0,-402.0,819.0,-377.0,658.0,-533.0,698.0,-334.0,610.0,-143.0,721.0,-660.0,738.0,-534.0,806.0,-291.0,571.0,-408.0,771.0,-137.0
736.0,-390.0,691.0,-133.0,703.0,-715.0,593.0,-284.0,643.0,-396.0,817.0,-377.0,661.0,-530.0,701.0,-325.0,612.0,-143.0,721.0,-649.0,732.0,-511.0,802.0,-286.0,576.0,-391.0,772.0,-135.0
739.0,-389.0,691.0,-133.0,703.0,-713.0,591.0,-282.0,649.0,-390.0,814.0,-377.0,667.0,-528.0,702.0,-321.0,611.0,-139.0,715.0,-645.0,733.0,-498.0,798.0,-278.0,584.0,-376.0,769.0,-135.0
737.0,-388.0,693.0,-134.0,702.0,-713.0,587.0,-282.0,648.0,-388.0,811.0,-375.0,673.0,-522.0,705.0,-324.0,611.0,-139.0,718.0,-657.0,733.0,-493.0,799.0,-277.0,591.0,-365.0,768.0,-134.0
738.0,-388.0,692.0,-139.0,704.0,-708.0,591.0,-285.0,652.0,-388.0,810.0,-379.0,672.0,-517.0,704.0,-327.0,611.0,-139.0,722.0,-667.0,733.0,-497.0,798.0,-279.0,599.0,-350.0,766.0,-143.0
738.0,-391.0,693.0,-145.0,703.0,-710.0,593.0,-287.0,653.0,-389.0,811.0,-387.0,677.0,-514.0,705.0,-327.0,619.0,-150.0,720.0,-631.0,734.0,-508.0,793.0,-285.0,605.0,-340.0,767.0,-148.0
738.0,-389.0,695.0,-155.0,703.0,-697.0,595.0,-288.0,656.0,-390.0,806.0,-385.0,675.0,-508.0,704.0,-333.0,620.0,-157.0,717.0,-625.0,736.0,-509.0,793.0,-290.0,609.0,-333.0,766.0,-153.0
741.0,-386.0,699.0,-156.0,699.0,-681.0,601.0,-289.0,657.0,-388.0,809.0,-386.0,673.0,-506.0,707.0,-329.0,623.0,-159.0,709.0,-630.0,740.0,-506.0,793.0,-293.0,614.0,-336.0,766.0,-157.0
741.0,-380.0,699.0,-156.0,695.0,-655.0,605.0,-287.0,661.0,-388.0,809.0,-385.0,674.0,-503.0,711.0,-327.0,628.0,-160.0,710.0,-638.0,745.0,-492.0,792.0,-291.0,617.0,-336.0,769.0,-159.0
745.0,-376.0,702.0,-150.0,691.0,-615.0,610.0,-282.0,665.0,-384.0,807.0,-375.0,670.0,-499.0,711.0,-321.0,629.0,-157.0,711.0,-627.0,747.0,-486.0,794.0,-287.0,615.0,-347.0,772.0,-158.0
748.0,-367.0,703.0,-147.0,689.0,-585.0,617.0,-278.0,671.0,-378.0,807.0,-366.0,671.0,-492.0,715.0,-313.0,634.0,-151.0,709.0,-630.0,750.0,-477.0,796.0,-282.0,611.0,-350.0,771.0,-156.0
747.0,-362.0,705.0,-140.0,686.0,-570.0,617.0,-270.0,669.0,-370.0,804.0,-352.0,678.0,-472.0,713.0,-306.0,635.0,-148.0,709.0,-629.0,741.0,-471.0,793.0,-273.0,605.0,-353.0,771.0,-150.0
746.0,-352.0,704.0,-138.0,692.0,-571.0,620.0,-267.0,665.0,-358.0,803.0,-343.0,680.0,-455.0,709.0,-297.0,635.0,-146.0,709.0,-626.0,741.0,-468.0,796.0,-271.0,602.0,-351.0,768.0,-143.0
741.0,-349.0,704.0,-137.0,689.0,-578.0,617.0,-262.0,662.0,-352.0,801.0,-331.0,679.0,-444.0,705.0,-301.0,635.0,-146.0,709.0,-624.0,737.0,-465.0,797.0,-267.0,601.0,-349.0,767.0,-142.0
737.0,-350.0,702.0,-141.0,690.0,-587.0,615.0,-262.0,664.0,-355.0,793.0,-320.0,679.0,-440.0,706.0,-301.0,635.0,-144.0,707.0,-621.0,729.0,-465.0,800.0,-267.0,596.0,-351.0,763.0,-141.0
735.0,-350.0,701.0,-146.0,691.0,-588.0,613.0,-262.0,665.0,-358.0,791.0,-312.0,682.0,-449.0,705.0,-303.0,637.0,-152.0,707.0,-623.0,729.0,-455.0,797.0,-266.0,595.0,-352.0,761.0,-149.0
735.0,-350.0,699.0,-150.0,691.0,-570.0,613.0,-260.0,665.0,-361.0,787.0,-312.0,679.0,-459.0,704.0,-307.0,634.0,-155.0,705.0,-616.0,727.0,-453.0,794.0,-267.0,595.0,-350.0,761.0,-155.0
732.0,-352.0,697.0,-155.0,697.0,-565.0,615.0,-269.0,666.0,-361.0,786.0,-313.0,675.0,-461.0,701.0,-311.0,636.0,-161.0,707.0,-613.0,728.0,-449.0,792.0,-271.0,595.0,-353.0,757.0,-161.0
730.0,-348.0,696.0,-158.0,699.0,-564.0,615.0,-268.0,663.0,-356.0,781.0,-313.0,673.0,-459.0,699.0,-311.0,633.0,-165.0,707.0,-594.0,726.0,-446.0,785.0,-267.0,595.0,-352.0,753.0,-157.0
725.0,-346.0,693.0,-159.0,697.0,-563.0,621.0,-268.0,659.0,-356.0,781.0,-319.0,669.0,-444.0,697.0,-306.0,632.0,-161.0,707.0,-583.0,726.0,-445.0,780.0,-267.0,596.0,-350.0,750.0,-155.0
726.0,-344.0,690.0,-154.0,697.0,-564.0,616.0,-266.0,654.0,-344.0,782.0,-322.0,666.0,-438.0,695.0,-305.0,631.0,-159.0,712.0,-555.0,728.0,-448.0,775.0,-264.0,599.0,-342.0,747.0,-153.0
720.0,-338.0,689.0,-153.0,698.0,-561.0,616.0,-257.0,651.0,-337.0,778.0,-323.0,667.0,-435.0,695.0,-296.0,628.0,-155.0,709.0,-526.0,725.0,-439.0,771.0,-259.0,599.0,-342.0,745.0,-152.0
719.0,-334.0,687.0,-147.0,697.0,-559.0,616.0,-257.0,654.0,-330.0,778.0,-323.0,669.0,-433.0,694.0,-289.0,628.0,-150.0,713.0,-507.0,721.0,-429.0,767.0,-255.0,605.0,-337.0,745.0,-148.0
721.0,-330.0,687.0,-143.0,699.0,-559.0,616.0,-255.0,655.0,-330.0,778.0,-323.0,667.0,-429.0,694.0,-287.0,631.0,-150.0,709.0,-509.0,717.0,-413.0,762.0,-251.0,609.0,-327.0,742.0,-145.0
720.0,-326.0,687.0,-143.0,698.0,-563.0,613.0,-255.0,656.0,-326.0,777.0,-321.0,672.0,-424.0,695.0,-283.0,626.0,-154.0,709.0,-520.0,718.0,-409.0,763.0,-249.0,609.0,-319.0,740.0,-148.0
