neck_x,neck_y,left_foot_x,left_foot_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_foot_x,right_foot_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,Lt_ELbow_x,Lt_ELbow_y,left_hand_x,left_hand_y
-478.0,202.0,-517.4514039,-1355.11879,-612.0,-436.0,-310.0,-420.0,-545.0,-915.0,-480.0,-342.0,-712.0,142.0,-346.0,-1015.0,-180.0,-142.0,-164.0,-406.0,-310.0,-694.0,-268.0,168.0,-796.0,-154.0,-670.0,-376.0
-466.0,198.0,-519.0,-1348.0,-594.0,-428.0,-302.0,-408.0,-539.0,-888.0,-464.0,-334.0,-692.0,150.0,-349.0,-1021.0,-164.0,-138.0,-148.0,-402.0,-310.0,-702.0,-260.0,162.0,-774.0,-140.0,-656.0,-372.0
-448.0,214.0,-523.0,-1303.0,-588.0,-400.0,-300.0,-388.0,-531.0,-861.0,-450.0,-310.0,-674.0,170.0,-349.0,-1021.0,-148.0,-126.0,-138.0,-380.0,-312.0,-690.0,-248.0,174.0,-756.0,-128.0,-652.0,-354.0
-432.0,234.0,-518.0,-1231.0,-570.0,-362.0,-286.0,-360.0,-530.0,-806.0,-430.0,-274.0,-658.0,198.0,-345.0,-1019.0,-144.0,-114.0,-128.0,-360.0,-306.0,-696.0,-232.0,202.0,-740.0,-96.0,-652.0,-338.0
-420.0,258.0,-515.0,-1138.0,-562.0,-326.0,-280.0,-336.0,-529.0,-756.0,-420.0,-244.0,-640.0,228.0,-341.0,-1027.0,-134.0,-90.0,-122.0,-336.0,-306.0,-696.0,-222.0,222.0,-720.0,-76.0,-646.0,-322.0
-412.0,288.0,-505.0,-1001.0,-560.0,-298.0,-282.0,-298.0,-530.0,-689.0,-418.0,-222.0,-636.0,254.0,-341.0,-1027.0,-128.0,-72.0,-122.0,-318.0,-306.0,-692.0,-216.0,232.0,-710.0,-38.0,-644.0,-294.0
-408.0,306.0,-496.0,-867.0,-570.0,-280.0,-284.0,-276.0,-527.0,-628.0,-414.0,-186.0,-624.0,282.0,-341.0,-1031.0,-118.0,-60.0,-128.0,-298.0,-306.0,-692.0,-216.0,260.0,-706.0,-18.0,-656.0,-272.0
-404.0,318.0,-491.0,-762.0,-576.0,-256.0,-296.0,-260.0,-529.0,-560.0,-414.0,-172.0,-624.0,290.0,-345.0,-1036.0,-118.0,-42.0,-128.0,-274.0,-306.0,-692.0,-214.0,274.0,-702.0,22.0,-656.0,-254.0
-402.0,324.0,-486.0,-703.0,-576.0,-242.0,-296.0,-248.0,-528.0,-542.0,-424.0,-158.0,-616.0,300.0,-350.0,-1039.0,-116.0,-30.0,-140.0,-248.0,-320.0,-686.0,-214.0,274.0,-700.0,34.0,-674.0,-246.0
-402.0,324.0,-479.0,-685.0,-582.0,-238.0,-302.0,-248.0,-522.0,-478.0,-424.0,-158.0,-616.0,290.0,-355.0,-1045.0,-116.0,-30.0,-152.0,-222.0,-320.0,-696.0,-214.0,274.0,-704.0,46.0,-684.0,-242.0
-402.0,306.0,-481.0,-716.0,-586.0,-238.0,-312.0,-252.0,-524.0,-478.0,-426.0,-162.0,-616.0,274.0,-351.0,-1042.0,-116.0,-30.0,-168.0,-210.0,-326.0,-694.0,-224.0,258.0,-706.0,46.0,-696.0,-242.0
-410.0,290.0,-493.0,-743.0,-586.0,-238.0,-316.0,-254.0,-518.0,-482.0,-430.0,-168.0,-614.0,262.0,-352.0,-1040.0,-114.0,-42.0,-178.0,-202.0,-328.0,-680.0,-232.0,250.0,-706.0,38.0,-696.0,-242.0
-410.0,284.0,-492.0,-772.0,-586.0,-238.0,-322.0,-262.0,-520.0,-516.0,-436.0,-176.0,-614.0,250.0,-353.0,-1033.0,-116.0,-42.0,-180.0,-202.0,-328.0,-680.0,-240.0,240.0,-704.0,34.0,-704.0,-244.0
-424.0,274.0,-491.0,-791.0,-586.0,-238.0,-332.0,-262.0,-520.0,-516.0,-440.0,-176.0,-624.0,240.0,-355.0,-1016.0,-132.0,-38.0,-188.0,-210.0,-332.0,-658.0,-252.0,240.0,-696.0,26.0,-704.0,-244.0
-436.0,280.0,-490.0,-794.0,-586.0,-230.0,-336.0,-252.0,-524.0,-530.0,-446.0,-162.0,-632.0,244.0,-356.0,-989.0,-156.0,-18.0,-192.0,-204.0,-336.0,-634.0,-260.0,242.0,-704.0,22.0,-696.0,-236.0
-444.0,290.0,-491.0,-803.0,-586.0,-206.0,-344.0,-224.0,-524.0,-526.0,-448.0,-146.0,-638.0,258.0,-355.0,-947.0,-166.0,-6.0,-186.0,-198.0,-340.0,-602.0,-276.0,250.0,-696.0,30.0,-682.0,-226.0
