neck_x,neck_y,left_foot_x,left_foot_y,left_elbow_x,left_elbow_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_foot_x,right_foot_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,left_hand_x,left_hand_y,right_shoulder_x,right_shoulder_y
166.0,508.0,98.0,-154.0,11.0,335.0,84.0,206.0,224.0,195.0,90.0,41.0,172.0,223.0,57.0,486.0,136.0,-123.0,286.0,315.0,255.0,194.0,174.0,22.0,18.0,246.0,273.0,473.0
172.0,500.0,96.0,-134.0,17.0,331.0,85.0,201.0,224.0,189.0,82.0,44.0,172.0,223.0,61.0,483.0,138.0,-118.0,282.0,307.0,255.0,195.0,171.0,28.0,23.0,246.0,273.0,463.0
175.0,500.0,92.0,-108.0,24.0,333.0,88.0,209.0,225.0,197.0,72.0,54.0,177.0,227.0,67.0,481.0,137.0,-111.0,282.0,300.0,255.0,195.0,174.0,38.0,27.0,250.0,275.0,459.0
181.0,499.0,90.0,-66.0,29.0,342.0,93.0,207.0,225.0,205.0,66.0,61.0,174.0,231.0,71.0,486.0,135.0,-108.0,283.0,305.0,255.0,201.0,174.0,46.0,27.0,252.0,275.0,461.0
181.0,504.0,80.0,-34.0,32.0,351.0,92.0,213.0,226.0,215.0,62.0,76.0,170.0,243.0,74.0,492.0,131.0,-109.0,281.0,308.0,251.0,212.0,170.0,54.0,27.0,253.0,276.0,465.0
185.0,508.0,82.0,-18.0,38.0,361.0,89.0,223.0,224.0,222.0,63.0,99.0,171.0,249.0,77.0,497.0,134.0,-108.0,282.0,314.0,253.0,219.0,171.0,56.0,25.0,256.0,274.0,467.0
184.0,515.0,74.0,-22.0,37.0,366.0,84.0,230.0,214.0,224.0,64.0,109.0,163.0,253.0,81.0,500.0,128.0,-112.0,279.0,317.0,251.0,229.0,166.0,60.0,26.0,257.0,275.0,470.0
187.0,507.0,72.0,-40.0,42.0,369.0,83.0,236.0,212.0,227.0,66.0,111.0,156.0,257.0,81.0,498.0,130.0,-101.0,279.0,316.0,250.0,233.0,166.0,64.0,25.0,257.0,269.0,469.0
181.0,503.0,70.0,-43.0,44.0,369.0,79.0,232.0,212.0,229.0,69.0,110.0,153.0,255.0,81.0,491.0,130.0,-100.0,275.0,316.0,242.0,238.0,163.0,69.0,28.0,253.0,267.0,465.0
174.0,495.0,69.0,-36.0,47.0,361.0,82.0,226.0,207.0,228.0,75.0,99.0,153.0,253.0,78.0,481.0,130.0,-99.0,272.0,311.0,243.0,238.0,165.0,74.0,27.0,247.0,262.0,461.0
167.0,487.0,77.0,-27.0,49.0,361.0,83.0,220.0,207.0,233.0,78.0,96.0,152.0,252.0,75.0,471.0,132.0,-87.0,267.0,306.0,241.0,235.0,163.0,80.0,25.0,247.0,253.0,453.0
165.0,482.0,80.0,-30.0,47.0,356.0,80.0,218.0,207.0,232.0,82.0,97.0,148.0,250.0,68.0,469.0,134.0,-81.0,265.0,308.0,237.0,240.0,160.0,84.0,23.0,243.0,249.0,448.0
