neck_x,neck_y,left_foot_x,left_foot_y,left_elbow_x,left_elbow_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_foot_x,right_foot_y,Rt_ELbow_x,Rt_ELbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,left_hand_x,left_hand_y
-420.0,307.0,-474.0,-847.0,-632.0,6.0,-522.0,-192.0,-262.0,-161.0,-493.0,-519.0,-379.0,-116.0,-586.0,243.0,-387.0,-720.0,-201.6176471,19.54411765,-215.9117647,-188.51470590000002,-291.0,-409.0,-246.0,260.0,-597.0,-176.0
-400.0,310.0,-475.0,-829.0,-626.0,11.0,-517.0,-192.0,-256.0,-165.0,-490.0,-514.0,-376.0,-121.0,-570.0,244.0,-387.0,-720.0,-193.6764706,10.01470588,-211.1470588,-191.69117649999998,-295.0,-417.0,-233.0,253.0,-598.0,-176.0
-387.0,303.0,-478.0,-804.0,-612.0,34.0,-516.0,-183.0,-257.0,-158.0,-490.0,-495.0,-373.0,-111.0,-552.0,259.0,-381.0,-726.0,-185.73529409999998,5.25,-206.3823529,-190.89705880000002,-295.0,-417.0,-219.0,247.0,-596.0,-164.0
-363.0,318.0,-483.0,-765.0,-607.0,53.0,-511.0,-175.0,-255.0,-145.0,-501.0,-476.0,-373.0,-102.0,-538.0,269.0,-381.0,-726.0,-177.7941176,9.220588235,-202.4117647,-182.1617647,-294.0,-422.0,-206.0,250.0,-595.0,-142.0
-352.0,325.0,-481.0,-709.0,-596.0,71.0,-511.0,-158.0,-256.0,-145.0,-501.0,-440.0,-372.0,-88.0,-520.0,285.0,-373.0,-736.0,-168.26470590000002,10.80882353,-192.8823529,-175.80882350000002,-293.0,-421.0,-193.0,257.0,-596.0,-132.0
-342.0,339.0,-473.0,-633.0,-586.0,94.0,-511.0,-143.0,-258.0,-135.0,-501.0,-415.0,-373.0,-82.0,-516.0,298.0,-373.0,-736.0,-157.14705880000002,16.36764706,-185.73529409999998,-165.48529409999998,-291.0,-419.0,-186.0,263.0,-602.0,-113.0
-330.0,353.0,-472.0,-547.0,-585.0,110.0,-515.0,-131.0,-257.0,-119.0,-516.0,-368.0,-376.0,-66.0,-504.0,313.0,-376.0,-737.0,-152.3823529,21.13235294,-184.94117649999998,-156.75,-296.0,-415.0,-181.0,269.0,-604.0,-102.0
-332.0,354.0,-473.0,-477.0,-576.0,127.0,-515.0,-118.0,-265.0,-112.0,-515.0,-335.0,-382.0,-56.0,-500.0,325.0,-377.0,-737.0,-150.7941176,30.66176471,-184.14705880000002,-145.6323529,-304.0,-406.0,-178.0,275.0,-606.0,-84.0
-330.0,356.0,-475.0,-442.0,-566.0,139.0,-515.0,-104.0,-266.0,-106.0,-511.0,-300.0,-383.0,-35.0,-502.0,333.0,-377.0,-737.0,-150.7941176,42.57352941,-185.73529409999998,-132.9264706,-311.0,-401.0,-178.0,281.0,-602.0,-75.0
-326.0,363.0,-467.0,-448.0,-563.0,143.0,-515.0,-91.0,-270.0,-95.0,-507.0,-286.0,-387.0,-36.0,-496.0,336.0,-380.0,-742.0,-149.2058824,41.77941176,-188.9117647,-124.98529409999999,-323.0,-400.0,-178.0,289.0,-598.0,-68.0
